Key Id,Tournament Id,tournament Name,Match Id,Match Name,Stage Name,Group Name,Group Stage,Knockout Stage,Replayed,Replay,Match Date,Match Time,Stadium Id,Stadium Name,City Name,Country Name,Home Team Id,Home Team Name,Home Team Code,Away Team Id,Away Team Name,Away Team Code,Score,Home Team Score,Away Team Score,Home Team Score Margin,Away Team Score Margin,Extra Time,Penalty Shootout,Score Penalties,Home Team Score Penalties,Away Team Score Penalties,Result,Home Team Win,Away Team Win,Draw
302,WC-1978,1978 FIFA WORLD CUP,M-1978-32,Argentina v Brazil,second group stage,Group B,1,0,0,0,6/18/1978,19:15,S-006,Estadio Gigante de Arroyito,  Rosario  ,Argentina,T-03,Argentina,ARG,T-09,brazil,BRA,"(0,0)",0,0,0,0,0,0,0-0,0,0,draw,0,0,1
831,WC-2014,2014 Fifa World Cup,M-2014-59,Argentina v Belgium,quarter-finals,not applicable,0,1,0,0,2014/07/05,13:00,S-009,Estádio Nacional,Brasília,Brazil,T-03,Argentina,ARG,T-06,Belgium,BEL,10,1,0,1,-1,1.0,0,0-0,0,0,home team win,1,0,0
902,WC-2022,2022 FIFA World Cup,M-2022-02,England v Iran,group stage,Group B,1,0,0,0,11/21/2022,16:00,S-110,Khalifa International Stadium,Al Rayyan,QATAR,T-27,England,ENG,T-36,Iran,IRN,6-2,6,2,4,-4,0.0,0,0-0,0,0,home team win,1,0,0
781,WC-2014,2014 FIFA World Cup,M-2014-09,Switzerland v Ecuador,group stage,Group E,1,0,0,0,6/15/2014,13:00,S-009,estádio nacional,Brasília,  Brazil,T-73,Switzerland,CHE,T-24,Ecuador,ECU,21,2,99,1,-1,0,0,0-0,0,0,home win,1,0,0
740,WC-2010,2010 Fifa World Cup,M-2010-32,Spain v Honduras,Group Stage,Group H,1,0,0,0,2010/06/21,20:30,S-130,Ellis Park Stadium,JOHANNESBURG,South Africa,T-71,Spain,ESP,T-33,Honduras,HND,20,2,0,-4,3,0,0,0-0,0,0,home team win,1,0,0
716,WC-2010,2010 FIFA WORLD CUP,M-2010-08,Germany v Australia,group stage,Group D,1,0,0,0,6/13/2010,20:30,S-129,  Moses Mabhida Stadium  ,Durban,South Africa,T-29,Germany,DEU,T-04,Australia,AUS,4:0,4,0,4,-4,0,0,0-0,0,0,home team win,1,Yes,0
518,WC-1998,1998 FIFA World Cup,M-1998-02,Morocco v Norway,group stage,Group A,1,0,0,0,6/10/1998,21:00,S-043,stade de la mosson,Montpellier,France,T-45,Morocco,MAR,T-51,Norway,NOR,22,2,2,0,0,0,0,0-0,0,0,draw,0,0,1
373,WC-1986,1986 FIFA World Cup,M-1986-13,Italy v Argentina  ,GROUP STAGE,Group A,1,0,0,0,6/5/1986,12:00,S-104,Estadio Cuauhtémoc,Puebla,Mexico,T-39,Italy,ITA,T-03,argentina,ARG,11,1,1,0,0,0,1.0,0-0,0,0,DRAW,0,0,
46,WC-1938,1938 FIFA World Cup,M-1938-11,Hungary v Switzerland,quarter-finals,not applicable,0,1,0,0,1938/06/12,17:00,S-040,stade victor boucquey,Lille,France,T-34,  Hungary  ,HUN,T-73,Switzerland,CHE  ,2 - -1,2,-1,2,-2,0,0,0-0,0,0,home team win,1,0,0
701,WC-2006,2006 FIFA World Cup,M-2006-57,Germany v Argentina,quarter-finals,not applicable,0,1,0,0,6/30/2006,17:00,S-053,Olympiastadion,Berlin,  Germany  ,T-29,Germany,DEU,T-03,ARGENTINA,ARG,1 - ,1,,0,0,1,1,42,4,2,Home Win,1,0,False
158,WC-1962,1962 FIFA World Cup,M-1962-22,Italy v Switzerland,group stage,Group 2,1,0,0,0,6/7/1962,15:00,S-026,Estadio Nacional,Santiago,Chile,T-39,Italy,ITA,T-73,Switzerland,n/a,30,3,0,3,-3,0,0,0-0,0,0,home team win,1,0,0
803,WC-2014,2014 FIFA World Cup,M-2014-31,South Korea v Algeria,group stage,Group H,1,0,0,0,6/22/2014,16:00,S-016,estádio beira-rio,Porto Alegre,  Brazil  ,T-69,South Korea,KOR,T-01,Algeria,DZA,24,2,4,-2,2,0,0,0-0,0,0,away team win,0,1,0
